Exceso de curtosis del perfil integrado,Exceso de curtosis de la curva DM-SNR,Pulsar
1.200520328,4.826975833,1
-0.197666344,8.764093137,0
0.790846128,-0.263047959,1
4.307838399,1.295862671,1
0.830424487,3.619330621,1
5.856152143,2.522333773,1
2.392634106,3.99602883,1
2.856749261,2.997168664,1
0.655981731,5.968260579,0
-0.139766255,6.123065866,0
0.307773667,5.370853806,0
0.46465455,2.727909552,1
0.115519858,18.58749293,0
0.897076602,8.053270383,0
4.269629379,0.095444496,1
0.199147955,-1.177216698,0
0.402479512,10.11358124,0
0.096413866,13.08549626,0
2.961258401,4.223892139,1
0.636641973,8.108096424,0
3.736450963,0.253562477,1
5.307001514,-0.239599914,1
1.899129336,3.126073762,1
5.879498662,2.374916068,1
0.348005399,8.933700491,0
4.922593532,0.243013429,1
2.287652077,0.955179239,1
-0.044072907,13.83097018,0
0.44090231,7.563211222,0
0.488225948,8.828874599,0
-0.015987449,11.02074252,0
4.462306353,-0.052434708,1
0.316793329,4.393015888,0
5.365765185,-0.076429822,1
5.331252206,0.473213253,1
5.485040455,2.020024126,1
1.246770886,6.153518245,0
7.875742091,1.635319647,1
0.589223035,10.75934444,0
3.754493514,0.738275666,1
-0.089181608,10.57582518,0
4.586501952,1.384786676,1
0.128252719,9.358606811,0
1.623223552,4.781536191,0
2.649018545,7.272359922,1
5.055287901,0.270882009,1
-0.382617094,5.146605105,0
0.075229782,9.691365988,0
2.506676838,2.06924093,1
0.058494385,8.540190582,0
0.256098572,9.693563336,0
4.578984354,-0.057971939,1
0.39861108,1.024687216,1
-0.115566561,4.585592553,0
2.831066402,2.015494316,1
-0.288257033,3.126976105,0
0.049424016,3.266380372,0
4.269030573,2.255584193,1
2.675793254,3.161199739,1
2.776419055,0.585582165,1
5.859133735,0.742921419,1
0.019236998,9.770549541,0
0.284266265,11.91119611,0
0.224402602,8.484040042,0
2.58500314,4.106325032,1
2.081382551,-0.458445467,1
0.322660562,9.948781371,0
3.016280138,5.413000022,1
0.349720099,6.231565767,0
0.483737151,14.83772109,0
3.646904656,0.067914638,1
0.198649088,8.4881394,0
0.094191046,17.00494767,0
4.587357765,2.808475775,1
-0.075504382,5.955097963,0
0.393403619,9.524962781,0
4.106637024,2.420031117,1
0.13479343,8.652778012,0
2.168906391,6.658480366,1
0.654417288,8.466196458,1
0.269671956,8.075518784,0
4.154733368,2.477722851,1
4.432206376,0.642852525,1
3.750763581,-0.861442064,1
-0.008439501,9.783336503,0
5.089784945,-0.432160664,1
5.326209326,2.669580267,1
5.940644222,1.284396079,1
0.083465501,21.83509649,0
4.430579647,4.772328974,1
5.264754928,1.309008666,1
-0.086850458,9.224751955,0
0.191626311,5.185667022,0
6.861532609,0.145161468,1
0.232892693,8.203109615,0
-0.370589791,7.092704552,0
-0.007566477,1.616087278,0
4.626391357,0.259072872,1
0.137854934,16.17876367,0
0.242612143,7.451545968,0
1.317459045,3.070346153,1
-0.094498904,9.050612454,0
5.901331773,0.460033325,1
0.7376626,7.032114087,0
2.70600389,5.456122788,1
0.009782206,9.689833966,0
1.627878491,5.177427247,1
0.474569484,6.859531388,0
-0.279831101,8.436628605,0
5.767084535,0.98369996,1
0.119933511,10.17251815,0
0.033474933,6.690122728,0
3.312638443,13.30621017,1
5.326652756,0.381339773,1
2.635891727,5.208002681,1
-0.099702652,-0.165798884,0
0.650447548,9.867825245,0
1.890852823,5.093572586,1
0.459259767,1.075924695,1
1.518644947,-0.506662454,1
-0.035224898,13.42151678,0
0.150444741,10.37051761,0
0.230584591,13.52349996,0
6.262653406,0.498758172,1
1.396708211,3.166081538,1
0.521968842,18.1481764,0
0.275569206,9.840352979,0
1.005287247,2.420901795,1
-0.048787999,6.506413288,0
7.550921894,-0.124471665,1
3.049806597,2.488989643,1
0.088411292,8.644428009,0
5.273403641,2.55538357,1
-0.0070333,10.43935945,0
5.296370877,2.45648463,1
0.117847039,9.261828214,0
-0.235955143,0.08409911,0
3.164036716,4.98750327,1
6.899093412,0.666799001,1
2.024270196,4.888889599,1
2.838965075,1.082803734,1
-0.049795135,7.605380971,0
0.236041745,10.15351255,0
4.992125533,0.66561586,1
0.353471904,8.052268926,0
2.769881783,2.489473517,1
0.123292108,10.71319238,0
0.250128273,9.643034989,0
-0.392350934,11.59281544,0
0.169169335,13.23709229,0
0.024776543,5.280942109,0
0.148239193,3.231074949,0
-0.058349051,3.234871812,0
3.493950076,0.141825369,1
0.132506268,8.407183088,0
1.547196967,2.20880796,1
6.139090075,0.68269248,1
0.321053734,9.604800481,0
0.69883459,9.848366843,0
0.07532771,6.998100564,0
