"Moneda 1","Moneda 2","Moneda 3"
9,15,25
5,13,26
14,20,26
9,19,26
14,12,29
10,16,22
13,18,23
6,13,27
9,16,26
13,16,25
8,13,28
12,13,26
8,18,24
13,16,24
9,13,26
7,14,21
12,18,25
11,14,24
11,19,25
7,13,26
6,16,27
7,16,29
9,15,25
8,12,21
4,15,26
10,18,26
6,19,28
8,13,24
13,16,28
6,18,27
15,19,25
14,19,26
11,19,27
7,17,23
8,10,27
9,19,26
8,17,25
11,17,25
13,12,26
6,11,26
9,15,27
6,22,21
13,16,23
8,12,25
9,15,24
13,14,25
7,12,26
11,13,27
10,19,21
10,18,24
11,14,27
10,19,26
9,11,27
5,16,22
9,12,28
5,16,27
4,20,26
6,14,22
10,12,25
14,17,23
4,15,27
11,12,25
11,14,26
8,18,27
10,10,24
7,16,24
11,21,25
11,14,24
11,19,26
8,8,25
11,15,26
10,16,28
11,11,28
7,17,22
10,16,27
10,14,24
11,14,25
16,14,25
6,12,28
9,12,26
10,13,29
11,13,28
9,13,26
7,17,25
9,14,26
9,16,26
3,19,24
7,15,26
11,16,26
11,16,25
13,18,27
7,14,27
10,17,25
7,12,29
11,18,23
11,14,25
9,19,29
12,13,23
10,13,24
9,18,25
4,17,27
6,13,23
10,16,28
8,11,27
10,15,27
8,11,27
10,16,29
6,13,25
9,16,26
15,16,24
8,14,22
8,14,25
9,15,28
9,15,25
8,18,26
8,16,23
8,16,25
10,12,26
7,12,24
7,14,27
9,16,21
11,18,23
5,16,23
10,15,24
11,10,25
12,10,28
15,13,27
10,16,26
9,15,28
8,18,29
13,17,25
13,16,23
11,18,28
9,13,27
8,17,23
8,19,29
10,16,27
12,13,25
5,17,26
11,12,21
7,12,25
6,13,26
9,18,24
9,11,28
8,15,26
10,11,23
9,19,27
15,16,24
12,12,26
11,17,23
8,18,24
7,16,25
13,9,27
5,19,24
6,19,25
11,11,23
9,16,25
9,14,23
12,15,28
13,17,26
11,17,27
9,17,26
11,16,28
11,12,28
6,17,27
15,18,22
8,16,24
10,15,27
15,14,24
9,16,27
11,16,26
11,19,26
10,14,26
12,15,23
8,16,23
9,13,26
11,16,23
11,11,26
12,15,25
11,18,25
8,21,26
10,13,22
12,24,23
8,14,24
12,17,26
13,13,26
7,14,24
7,13,24
11,11,28
8,15,26
9,9,26
8,17,26
11,16,27
12,15,27
8,11,20
9,14,23
13,11,27
13,13,22
11,16,27
10,14,27
7,20,24
11,15,25
7,16,22
8,15,27
8,15,26
6,15,26
8,15,23
11,14,24
9,14,25
11,16,24
11,15,23
10,14,24
7,14,26
10,11,28
8,18,27
13,15,22
10,18,28
11,15,24
9,17,25
7,14,27
7,13,27
7,16,25
5,15,25
10,13,26
12,16,24
9,12,25
14,18,28
6,12,27
8,19,23
5,9,27
12,12,26
11,19,24
4,15,27
13,20,24
8,15,25
7,16,26
8,12,22
8,14,27
9,14,24
5,16,27
6,12,25
7,11,22
10,16,26
7,16,22
8,18,24
11,9,25
6,12,28
11,8,25
11,16,23
15,14,26
5,13,25
10,17,22
10,12,27
10,17,27
7,15,23
9,20,26
12,17,24
8,23,27
6,16,27
9,11,27
13,18,24
8,16,25
9,20,23
9,12,20
9,18,27
11,20,25
10,17,27
8,16,26
13,15,25
9,15,29
10,17,27
7,18,24
12,20,25
12,18,29
11,17,29
6,14,23
10,14,26
9,17,29
8,12,25
14,16,28
9,14,24
8,14,28
15,17,29
8,18,24
8,15,28
10,14,28
10,15,24
8,17,24
7,17,27
10,14,23
9,13,23
5,18,26
9,14,23
11,15,26
15,14,24
8,12,26
8,18,21
1,13,24
10,12,27
6,12,23
9,16,28
14,15,27
6,13,24
12,17,27
9,14,21
8,16,25
7,17,24
13,15,28
7,16,25
3,15,25
14,11,27
10,15,23
5,9,26
11,18,26
6,15,25
10,18,29
9,15,27
11,13,23
9,6,24
9,11,28
9,12,26
4,14,26
8,16,25
15,10,25
7,14,25
11,14,24
12,12,27
8,17,24
5,17,28
5,17,26
8,16,27
10,19,24
11,12,25
14,18,28
9,10,28
8,14,28
10,18,24
9,16,21
15,17,25
15,14,24
5,13,28
9,19,27
7,15,23
9,18,24
7,17,28
9,14,22
5,14,26
7,13,27
8,12,22
5,17,23
10,14,26
4,14,26
11,15,24
4,14,27
5,19,27
14,16,27
7,15,25
9,15,27
9,17,21
13,15,24
9,16,28
9,19,28
11,19,26
4,15,26
9,14,27
10,19,22
12,13,26
9,9,25
10,12,28
12,16,25
9,18,28
6,16,26
5,18,27
13,16,26
13,13,24
11,15,25
11,14,27
11,13,25
7,14,26
8,17,25
7,19,25
12,10,21
11,19,25
7,12,21
7,14,26
10,8,26
12,16,25
8,17,26
11,12,20
9,15,25
7,12,26
11,19,27
7,10,23
11,16,25
10,18,26
9,12,27
9,14,26
7,13,22
6,16,28
8,15,27
13,14,28
9,13,27
8,11,28
6,18,24
11,19,23
11,21,25
10,12,26
7,14,23
6,17,25
12,16,28
14,17,25
7,23,25
10,16,26
14,18,27
7,11,24
6,14,26
11,18,23
9,14,24
5,14,24
7,14,23
11,18,26
8,17,26
6,10,26
10,18,24
11,15,20
11,16,20
9,12,26
11,17,27
6,16,23
9,15,25
9,13,25
12,16,26
10,13,24
13,15,26
5,14,27
7,17,23
7,13,25
12,17,26
6,21,24
6,13,24
8,13,25
10,14,21
6,14,27
4,15,26
11,14,23
10,16,27
7,17,25
6,17,25
12,13,26
14,15,27
11,16,25
9,17,25
11,18,25
4,18,24
8,17,25
15,12,25
6,11,27
11,13,25
13,14,25
6,10,28
6,14,23
8,11,23
13,17,26
7,10,25
7,14,25
8,16,28
10,10,28
12,16,26
7,17,25
12,18,28
5,11,27
7,13,29
9,15,29
8,19,26
12,17,24
6,15,26
9,15,23
9,16,26
12,17,26
9,18,25
11,12,27
6,14,28
8,21,23
11,15,26
5,14,25
7,16,27
10,13,25
13,13,27
