Mean of the integrated profile;Standard Deviation of the integrated profile;Excess kurtosis of the integrated profile;Skewness of the integrated profile;Mean of the DM-SNR curve;Standard Deviation of the DM-SNR curve;Excess kurtosis of the DM-SNR curve;Skewness of the DM-SNR curve;Pulsar
-1.640563632;-0.157200182;1.39400658;0.768874942;1.316361609;1.428186314;-1.193214453;-0.778742168;1
-0.721007636;2.984611616;-0.060148535;-0.516442153;2.985451935;2.232196365;-1.484369267;-0.793014325;1
0.841523381;-0.573540468;-0.605101102;-0.406732239;-0.515332825;-0.646134579;0.224096352;-0.08601312;0
-0.810171456;-1.306889422;0.631105553;0.470591085;-0.465440714;-0.268294606;-0.112322131;-0.39314115;1
0.321906072;0.464190343;-0.599658676;-0.509291358;-0.564986735;-1.031510823;2.077372505;2.854560408;0
-1.762839259;0.296165851;1.329694081;0.618836483;3.639224817;1.745079134;-1.559799148;-0.787907166;1
0.980679536;0.162733016;-0.525066305;-0.478070837;-0.563839043;-0.961771895;1.500915144;1.565770225;0
-1.982935387;-1.173511471;1.927119554;1.577345353;1.080824938;1.900913723;-1.216878663;-0.786218666;1
0.677262849;-0.17376795;-0.561088574;-0.497950427;-0.526593197;-0.757757149;0.38140542;0.103334115;0
0.821396596;1.394846125;-0.672085028;-0.540037163;-0.505609926;-0.618404796;0.209741475;-0.106059597;0
-0.177151619;0.322594298;-0.346595006;-0.418331476;-0.539152843;-0.86920939;0.56879527;0.390424171;0
-0.255061753;-0.302905325;0.094719378;-0.171568621;-0.248548621;0.471137476;-0.667093583;-0.669662677;1
0.791098211;1.009184715;-0.673944697;-0.509979088;-0.556346565;-0.890631166;1.005057868;0.799280122;0
-1.103416543;-0.766608713;0.992179011;0.598336554;-0.382698633;0.159441783;-0.384432379;-0.553756194;1
-1.601824982;-1.557016719;1.935390926;1.806523695;2.057748846;1.780110812;-1.335972409;-0.78849115;1
0.738725287;0.505362966;-0.477106465;-0.487263705;-0.445150389;-0.32902798;-0.275601908;-0.468392508;0
0.742404377;0.949019359;-0.578343672;-0.497715687;-0.013704897;0.893328953;-0.888110059;-0.732023138;0
0.753008812;0.427803853;-0.651752065;-0.486055392;-0.438026038;-0.280602982;-0.288900453;-0.487406748;0
-1.389087033;-1.039796071;1.184955673;0.748348548;-0.231419863;0.383926071;-0.695833876;-0.671886249;1
0.188809593;-0.543056681;-0.443683471;-0.420471706;-0.44040804;-0.144044278;-0.233532404;-0.467241962;0
0.845418887;0.923675198;-0.755324428;-0.530847181;-0.471677228;-0.344794364;0.020547722;-0.298968009;0
0.016108796;0.329147594;-0.39219948;-0.455943809;-0.567217155;-0.872693713;1.619597807;1.407393412;0
